document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
Presidential Declaration Amendment of a Major Disaster for Public Assistance Only for the State of South Carolina,2024-26646,Amendment 4.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26646.pdf,"This is an amendment of the Presidential declaration of a major disaster for Public Assistance Only for the State of South Carolina (FEMA-4829-DR), dated October 6, 2024. Incident: Hurricane Helene.","This is an amendment of the Presidential declaration of a major disaster for Public Assistance Only for the State of South Carolina (FEMA-4829-DR), dated October 6, 2024. Incident: Hurricane Helene.",,"Issued on November 7, 2024.",1,90339,90339,,Small Business Administration,468,https://www.federalregister.gov/agencies/small-business-administration,None,small-business-administration,,
Presidential Declaration Amendment of a Major Disaster for Public Assistance Only for the State of Louisiana,2024-26652,Amendment 2.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26652.pdf,"This is an amendment of the Presidential declaration of a major disaster for Public Assistance Only for the State of Louisiana (FEMA-4817-DR), dated September 23, 2024. Incident: Hurricane Francine.","This is an amendment of the Presidential declaration of a major disaster for Public Assistance Only for the State of Louisiana (FEMA-4817-DR), dated September 23, 2024. Incident: Hurricane Francine.",,"Issued on November 7, 2024.",1,90339,90339,,Small Business Administration,468,https://www.federalregister.gov/agencies/small-business-administration,None,small-business-administration,,
Meeting of the Interagency Task Force on Veterans Small Business Development,2024-26648,Notice of open Federal advisory committee meeting.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26648.pdf,"The SBA is issuing this notice to announce the date, time, and agenda for the next meeting of the Interagency Task Force on Veterans Small Business Development (IATF).","The SBA is issuing this notice to announce the date, time, and agenda for the next meeting of the Interagency Task Force on Veterans Small Business Development (IATF).",,"Wednesday, December 11, 2024, from 1 p.m. to 3:30 p.m. eastern time.",2,90339,90340,,Small Business Administration,468,https://www.federalregister.gov/agencies/small-business-administration,None,small-business-administration,,
"Mutual Savings and Loan Association Metairie, Louisiana; Approval of Conversion Application",2024-26680,,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26680.pdf,,,,,1,90351,90351,,"Treasury Department, Comptroller of the Currency","497, 80","https://www.federalregister.gov/agencies/treasury-department, https://www.federalregister.gov/agencies/comptroller-of-the-currency","None, 497","treasury-department, comptroller-of-the-currency",,
Proposed Collection; Comment Request for Information Collection Tools Relating to the Orphan Drug Credit,2024-26669,Notice and request for comments.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26669.pdf,"The Internal Revenue Service, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on continuing information collections, as required by the Paperwork Reduction Act of 1995. The IRS is soliciting comments concerning information collection requirements related to the orphan drug credit.","The Internal Revenue Service, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on continuing information collections, as required by...",,"Written comments should be received on or before January 14, 2025 to be assured of consideration.",2,90394,90395,,"Treasury Department, Internal Revenue Service","497, 254","https://www.federalregister.gov/agencies/treasury-department, https://www.federalregister.gov/agencies/internal-revenue-service","None, 497","treasury-department, internal-revenue-service",,
Product Change-Priority Mail and USPS Ground Advantage® Negotiated Service Agreement,2024-26569,Notice.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26569.pdf,The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,,"Date of required notice: November 15, 2024.",1,90329,90329,,Postal Service,410,https://www.federalregister.gov/agencies/postal-service,None,postal-service,,
"Product Change-Priority Mail Express, Priority Mail, and USPS Ground Advantage® Negotiated Service Agreement",2024-26557,Notice.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26557.pdf,The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,The Postal Service gives notice of filing a request with the Postal Regulatory Commission to add a domestic shipping services contract to the list of Negotiated Service Agreements in the Mail Classification Schedule's Competitive Products List.,,"Date of required notice: November 15, 2024.",1,90337,90337,,Postal Service,410,https://www.federalregister.gov/agencies/postal-service,None,postal-service,,
Meeting of the 2030 Census Advisory Committee,2024-26655,Notice of public meeting.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26655.pdf,"The Census Bureau is giving notice of a virtual meeting of the 2030 Census Advisory Committee (2030 CAC or Committee). The Committee will assist the Census Bureau in devising strategies to increase awareness of and participation in the next decennial census, reduce barriers to response, and enhance the public's trust and willingness to respond. Last minute changes to the schedule are possible, which could prevent giving advance public notice of schedule adjustments.",The Census Bureau is giving notice of a virtual meeting of the 2030 Census Advisory Committee (2030 CAC or Committee). The Committee will assist the Census Bureau in devising strategies to increase awareness of and participation in the next decennial...,,The virtual meeting will be held on:,1,90265,90265,,"Commerce Department, Census Bureau","54, 42","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/census-bureau","None, 54","commerce-department, census-bureau",,
Endangered and Threatened Species; Initiation of 5-Year Review for the Smoothback angelshark (Squatina oculata),2024-26537,Notice of initiation of 5-year review; request for information.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26537.pdf,"NMFS announces its intent to conduct a 5-year review of the endangered Smoothback angelshark (Squatina oculata). NMFS is required by the Endangered Species Act (ESA) to conduct 5-year reviews to ensure that listing classifications of species are accurate. The 5-year review must be based on the best scientific and commercial data available at the time of the review. We request submission of any such information on the Smoothback angelshark, particularly information on its status, threats, and conservation efforts, which has become available since the previous status review in June 2016.",NMFS announces its intent to conduct a 5-year review of the endangered Smoothback angelshark (Squatina oculata). NMFS is required by the Endangered Species Act (ESA) to conduct 5-year reviews to ensure that listing classifications of species are...,,"To allow us adequate time to conduct this review, we must receive your information no later than January 14, 2025. However, we will continue to accept new information about any listed species at any time.",2,90266,90267,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",,
Innovation Fund Advisory Committee,2024-26635,Call for applications to serve on the Innovation Fund Advisory Committee.,2024-11-15,https://www.govinfo.gov/content/pkg/FR-2024-11-15/pdf/2024-26635.pdf,"The National Telecommunications and Information Administration (NTIA) is seeking applications from persons interested in serving on the Public Wireless Supply Chain Innovation Fund Advisory Committee (hereinafter ""the IFAC"" or ""the Committee"") for a two-year term. The IFAC will advise the Secretary and the NTIA Administrator on the administration of the Public Wireless Supply Chain Innovation Fund.","The National Telecommunications and Information Administration (NTIA) is seeking applications from persons interested in serving on the Public Wireless Supply Chain Innovation Fund Advisory Committee (hereinafter ""the IFAC"" or ""the Committee"") for a...",,"To be considered for calendar year 2025 appointments, applications must be postmarked or electronically transmitted on or before December 16, 2024.",3,90267,90269,,"Commerce Department, National Telecommunications and Information Administration","54, 373","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-telecommunications-and-information-administration","None, 54","commerce-department, national-telecommunications-and-information-administration",,
