document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
Changes in Rates VA Pays for Special Modes of Transportation; Delay of Effective Date,2023-28726,Final rule; delay of effective date.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28726.pdf,"The Department of Veterans Affairs (VA) published in the Federal Register on February 16, 2023, a final rule to amend its beneficiary travel regulations to establish a new payment methodology for special modes of transportation available through the VA beneficiary travel program. The preamble of that final rule stated the effective date was February 16, 2024. This rulemaking delays that effective date to February 16, 2025.","The Department of Veterans Affairs (VA) published in the Federal Register on February 16, 2023, a final rule to amend its beneficiary travel regulations to establish a new payment methodology for special modes of transportation available through the VA...",,"The effective date for the final rule published February 16, 2023, at 88 FR 10032, is delayed from February 16, 2024, until February 16, 2025.",2,90120,90121,,Veterans Affairs Department,520,https://www.federalregister.gov/agencies/veterans-affairs-department,None,veterans-affairs-department,38,70
Air Plan Approval; Arkansas; Revisions to Rule 19 of the Arkansas Plan,2023-28497,Final rule.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28497.pdf,"Pursuant to the Federal Clean Air Act (CAA or the Act), the Environmental Protection Agency (EPA) is approving portions of the revisions to the Arkansas State Implementation Plan (SIP) including revisions to the Arkansas Pollution Control and Ecology Commission's (""Commission"" or APC&EC) Rule No. 19, Rules of the Arkansas Plan of Implementation for Air Pollution Control submitted by the Arkansas Department of Energy and Environment, Division of Environmental Quality (DEQ) via the Arkansas Governor's Office on June 22, 2022. Most of the revisions are administrative in nature and make the SIP current with Federal rules.","Pursuant to the Federal Clean Air Act (CAA or the Act), the Environmental Protection Agency (EPA) is approving portions of the revisions to the Arkansas State Implementation Plan (SIP) including revisions to the Arkansas Pollution Control and Ecology...","Air pollution control, Environmental protection, Incorporation by reference, Intergovernmental relations, Lead, Nitrogen oxides, Ozone, Reporting and recordkeeping requirements, Sulfur oxides, Volatile organic compounds","This rule is effective on January 29, 2024.",5,90121,90125,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,40,52
Action to Delay Effective Date Consistent With Congressionally Enacted Moratorium,2023-28775,Final rule.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28775.pdf,"This action stays certain amendments to the safe harbors to the Federal anti-kickback statute that were promulgated in a final rule (""Fraud And Abuse; Removal of Safe Harbor Protection for Rebates Involving Prescription Pharmaceuticals and Creation of New Safe Harbor Protection for Certain Point-of-Sale Reductions in Price on Prescription Pharmaceuticals and Certain Pharmacy Benefit Manager Service Fees"") published in the Federal Register on November 30, 2020 (the 2020 Final Rule). In response to a moratorium enacted by Congress on implementation of the 2020 Final Rule, most recently in section 11301 of the Inflation Reduction Act of 2022, which extended previous moratoria on implementation, administration, or enforcement of the 2020 Final Rule until January 1, 2032, the new effective date for the amendments set forth in the 2020 Final Rule is January 1, 2032.","This action stays certain amendments to the safe harbors to the Federal anti-kickback statute that were promulgated in a final rule (""Fraud And Abuse; Removal of Safe Harbor Protection for Rebates Involving Prescription Pharmaceuticals and Creation of...","Administrative practice and procedure, Fraud, Grant programs-health, Health facilities, Health professions, Maternal and child health, Medicaid, Medicare, Social security","As of December 29, 2023, 42 CFR 1001.952(h)(5)(viii), 42 CFR 1001.952(h)(6) through (9), 42 CFR 1001.952(cc), and 42 CFR 1001.952(dd) are stayed until January 1, 2032.",2,90125,90126,,"Health and Human Services Department, ","221, ","https://www.federalregister.gov/agencies/health-and-human-services-department, ","None, ","health-and-human-services-department, ",42,1001
"Radio Broadcasting Services; Lac Du Flambeau, Wisconsin",2023-28468,Final rule.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28468.pdf,"This document amends the Table of FM Allotments, of the Federal Communications Commission's (Commission) rules, by allotting FM Channel 225A at Lac Du Flambeau, Wisconsin, as a Tribal Allotment. The staff engineering analysis indicates that Channel 225A can be allotted to Lac Du Flambeau, Wisconsin, consistent with the minimum distance separation requirements of the Commission's rules, with a site restriction of 12.1 km (7.5 miles) northwest of the community. The reference coordinates are 46-01-14 NL and 89-44-54 WL.","This document amends the Table of FM Allotments, of the Federal Communications Commission's (Commission) rules, by allotting FM Channel 225A at Lac Du Flambeau, Wisconsin, as a Tribal Allotment. The staff engineering analysis indicates that Channel...",Radio,"Effective February 2, 2024.",1,90127,90127,,Federal Communications Commission,161,https://www.federalregister.gov/agencies/federal-communications-commission,None,federal-communications-commission,47,73
Magnuson-Stevens Act Provisions; Fisheries Off West Coast States; Pacific Coast Groundfish Fishery; 2023-2024 Biennial Specifications and Management Measures; Inseason Adjustments; Correction,2023-27689,Final rule; correction.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-27689.pdf,"NMFS published a final rule on November 29, 2023, to announce routine inseason adjustments to management measures in commercial and recreational groundfish fisheries for the 2024 fishing year. That rule is intended to allow commercial and recreational fishing vessels to access more abundant groundfish stocks while protecting overfished and depleted stocks. This action corrects the trip limits for the limited entry (LE) fixed gear and open access (OA) fleets for ""Other Flatfish"" (butter sole, curlfin sole, flathead sole, Pacific sanddab, rex sole, rock sole, and sand sole) south of latitude (lat.) 40[deg]10' North (N). This correction is necessary so that the implementing regulations are accurate and implement the action as intended by the Pacific Fishery Management Council (Council). This action also corrects a final rule published on December 1, 2023.","NMFS published a final rule on November 29, 2023, to announce routine inseason adjustments to management measures in commercial and recreational groundfish fisheries for the 2024 fishing year. That rule is intended to allow commercial and recreational...",,"The corrections are effective on January 1, 2024.",7,90127,90133,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",50,660
Milk in the Northeast and Other Marketing Areas; Notice of Hearing on Proposed Amendments to Marketing Agreements and Orders,2023-28762,Notice of reconvened public hearing on proposed rulemaking.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28762.pdf,"This notice announces the reconvening of the national public hearing which began on August 23, 2023, in Carmel, Indiana, to consider and take evidence on proposals to amend the pricing formulas in the 11 Federal Milk Marketing Orders (FMMOs).","This notice announces the reconvening of the national public hearing which began on August 23, 2023, in Carmel, Indiana, to consider and take evidence on proposals to amend the pricing formulas in the 11 Federal Milk Marketing Orders (FMMOs).",Milk marketing orders,"The hearing will reconvene at 8:00 a.m. ET on Tuesday, January 16, 2024.",1,90134,90134,,"Agriculture Department, Agricultural Marketing Service","12, 9","https://www.federalregister.gov/agencies/agriculture-department, https://www.federalregister.gov/agencies/agricultural-marketing-service","None, 12","agriculture-department, agricultural-marketing-service",7,1000
Commercial Mail Receiving Agencies Clarification,2023-28296,Proposed rule.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28296.pdf,"The Postal Service is proposing to amend Mailing Standards of the United States Postal Service, Domestic Mail Manual (DMM[supreg]) to clarify Commercial Mail Receiving Agencies (CMRA) notary responsibilities for the addressee's signature.","The Postal Service is proposing to amend Mailing Standards of the United States Postal Service, Domestic Mail Manual (DMM[supreg]) to clarify Commercial Mail Receiving Agencies (CMRA) notary responsibilities for the addressee's signature.","Administrative practice and procedure, Postal Service","Submit comments on or before January 29, 2024.",2,90137,90138,,Postal Service,410,https://www.federalregister.gov/agencies/postal-service,None,postal-service,39,111
Air Quality Plans; California; San Luis Obispo County Air Pollution Control District; New Source Review,2023-28750,Proposed rule.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28750.pdf,"The Environmental Protection Agency (EPA) is proposing to approve a revision to the San Luis Obispo County Air Pollution Control District (SLOCAPCD or ""District"") portion of the California State Implementation Plan (SIP). In this action, we are proposing to approve a rule submitted by the SLOCAPCD governing the issuance of permits for stationary sources, focusing on the preconstruction review and permitting of major sources and major modifications under part D of title I of the Clean Air Act (CAA or ""the Act""). This action also proposes to revise regulatory text to clarify that the District is not subject to the Federal Implementation Plan related to the protection of visibility. We are taking comments on this proposal and plan to follow with a final action.","The Environmental Protection Agency (EPA) is proposing to approve a revision to the San Luis Obispo County Air Pollution Control District (SLOCAPCD or ""District"") portion of the California State Implementation Plan (SIP). In this action, we are...","Administrative practice and procedure, Air pollution control, Environmental protection, Incorporation by reference, Intergovernmental relations, Nitrogen dioxide, Ozone, Reporting and recordkeeping requirements, Volatile organic compounds","Comments must be received on or before January 29, 2024.",4,90138,90141,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,40,52
Schools and Libraries Cybersecurity Pilot Program,2023-27811,Proposed rule.,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-27811.pdf,"In this document, the Federal Communications Commission (Commission) proposes a three-year pilot program within the Universal Service Fund (USF or Fund) to provide up to $200 million available to support cybersecurity and advanced firewall services for eligible schools and libraries.","In this document, the Federal Communications Commission (Commission) proposes a three-year pilot program within the Universal Service Fund (USF or Fund) to provide up to $200 million available to support cybersecurity and advanced firewall services for...","Communications common carriers, Computer technology, Internet, Libraries, Reporting and recordkeeping requirements, Schools, Telecommunications, Telephone","Comments are due on or before January 29, 2024 and reply comments are due on or before February 27, 2024. Written comments on the Paperwork Reduction Act proposed information collection requirements must be submitted by the public, Office of Management and Budget (OMB), and other interested parties on or before February 27, 2024.",23,90141,90163,,Federal Communications Commission,161,https://www.federalregister.gov/agencies/federal-communications-commission,None,federal-communications-commission,47,54
"Foreign-Trade Zone (FTZ) 125, Notification of Proposed Production Activity; Grand Design RV, LLC; (Motor Homes); Middlebury, Indiana",2023-28779,,2023-12-29,https://www.govinfo.gov/content/pkg/FR-2023-12-29/pdf/2023-28779.pdf,,,,,1,90164,90164,,"Commerce Department, Foreign-Trade Zones Board","54, 208","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/foreign-trade-zones-board","None, 54","commerce-department, foreign-trade-zones-board",,
