document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
Home Mortgage Disclosure (Regulation C) Adjustment to Asset-Size Exemption Threshold,2022-28441,Final rule; official interpretation.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28441.pdf,"The Consumer Financial Protection Bureau (Bureau) is amending the official commentary that interprets the requirements of the Bureau's Regulation C (Home Mortgage Disclosure) to reflect the asset- size exemption threshold for banks, savings associations, and credit unions based on the annual percentage change in the average of the Consumer Price Index for Urban Wage Earners and Clerical Workers (CPI- W). Based on the 8.6 percent increase in the average of the CPI-W for the 12-month period ending in November 2022, the exemption threshold is adjusted to $54 million from $50 million. Therefore, banks, savings associations, and credit unions with assets of $54 million or less as of December 31, 2022, are exempt from collecting data in 2023.","The Consumer Financial Protection Bureau (Bureau) is amending the official commentary that interprets the requirements of the Bureau's Regulation C (Home Mortgage Disclosure) to reflect the asset- size exemption threshold for banks, savings...","Banks, banking, Banks, banking, Banks, banking, Banks, banking, Credit unions, Mortgages, National banks, Reporting and recordkeeping requirements, Savings associations","This rule is effective on January 1, 2023.",3,80433,80435,,Consumer Financial Protection Bureau,573,https://www.federalregister.gov/agencies/consumer-financial-protection-bureau,None,consumer-financial-protection-bureau,12,1003
Truth in Lending Act (Regulation Z) Adjustment to Asset-Size Exemption Threshold,2022-28439,Final rule; official interpretation.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28439.pdf,"The Consumer Financial Protection Bureau (Bureau) is amending the official commentary to its Regulation Z in order to make annual adjustments to the asset-size thresholds exempting certain creditors from the requirement to establish an escrow account for a higher-priced mortgage loan (HPML). These changes reflect updates to the exemption from the escrow requirement in the Truth in Lending Act (TILA) for creditors that, together with their affiliates that regularly extended covered transactions secured by first liens, had total assets of less than $2 billion (adjusted annually for inflation). They also reflect updates to the exemption the Bureau added, by implementing section 108 of the Economic Growth, Regulatory Relief, and Consumer Protection Act (EGRRCPA), for certain insured depository institutions and insured credit unions with assets of $10 billion or less (adjusted annually for inflation). These amendments are based on the annual percentage change in the average of the Consumer Price Index for Urban Wage Earners and Clerical Workers (CPI-W). Based on the 8.6 percent increase in the average of the CPI-W for the 12-month period ending in November 2022, the exemption threshold for creditors and their affiliates that regularly extended covered transactions secured by first liens is adjusted to $2.537 billion from $2.336 billion and the exemption threshold for certain insured depository institutions and insured credit unions with assets of $10 billion or less is adjusted to $11.374 billion from $10.473 billion.",The Consumer Financial Protection Bureau (Bureau) is amending the official commentary to its Regulation Z in order to make annual adjustments to the asset-size thresholds exempting certain creditors from the requirement to establish an escrow account...,"Advertising, Banks, banking, Banks, banking, Banks, banking, Banks, banking, Consumer protection, Credit, Credit unions, Mortgages, National banks, Reporting and recordkeeping requirements, Savings associations, Truth-in-lending","This rule is effective on January 1, 2023.",5,80435,80439,,Consumer Financial Protection Bureau,573,https://www.federalregister.gov/agencies/consumer-financial-protection-bureau,None,consumer-financial-protection-bureau,12,1026
Medical Devices; Neurological Devices; Classification of the Pediatric Autism Spectrum Disorder Diagnosis Aid,2022-28430,Final amendment; final order.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28430.pdf,"The Food and Drug Administration (FDA, Agency, or we) is classifying the pediatric Autism Spectrum Disorder (ASD) diagnosis aid into class II (special controls). The special controls that apply to the device type are identified in this order and will be part of the codified language for the pediatric Autism Spectrum Disorder diagnosis aid's classification. We are taking this action because we have determined that classifying the device into class II (special controls) will provide a reasonable assurance of safety and effectiveness of the device. We believe this action will also enhance patients' access to beneficial innovative devices.","The Food and Drug Administration (FDA, Agency, or we) is classifying the pediatric Autism Spectrum Disorder (ASD) diagnosis aid into class II (special controls). The special controls that apply to the device type are identified in this order and will...",Medical devices,"This order is effective December 30, 2022. The classification was applicable on June 2, 2021.",3,80444,80446,,"Health and Human Services Department, Food and Drug Administration","221, 199","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/food-and-drug-administration","None, 221","health-and-human-services-department, food-and-drug-administration",21,882
Determination of Royalty Rates and Terms for Making and Distributing Phonorecords (Phonorecords IV),2022-28316,Final rule.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28316.pdf,"The Copyright Royalty Judges publish final regulations that set rates and terms applicable during the period from January 1, 2023 through December 31, 2027, for the statutory license for making and distributing phonorecords of nondramatic musical works.","The Copyright Royalty Judges publish final regulations that set rates and terms applicable during the period from January 1, 2023 through December 31, 2027, for the statutory license for making and distributing phonorecords of nondramatic musical works.","Copyright, Recordings, Recordings","Effective date: January 1, 2023.",13,80448,80460,,"Library of Congress, Copyright Royalty Board","277, 88","https://www.federalregister.gov/agencies/library-of-congress, https://www.federalregister.gov/agencies/copyright-royalty-board","None, 277","library-of-congress, copyright-royalty-board",37,385
Air Plan Approval; Arizona; Maricopa County; Power Plants,2022-28272,Final rule.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28272.pdf,The Environmental Protection Agency (EPA) is taking final action to approve a revision to the Maricopa County Air Quality Department's (MCAQD or County) portion of the Arizona State Implementation Plan (SIP). The revision addresses Arizona's reasonably available control technology (RACT) SIP obligations for the Phoenix- Mesa ozone nonattainment area that is classified as Moderate nonattainment for the 2008 ozone national ambient air quality standards (NAAQS). We are approving a local rule that regulates emissions of oxides of nitrogen (NO<INF>X</INF>) and particulate matter (PM) from power plants under the Clean Air Act (CAA or the Act).,The Environmental Protection Agency (EPA) is taking final action to approve a revision to the Maricopa County Air Quality Department's (MCAQD or County) portion of the Arizona State Implementation Plan (SIP). The revision addresses Arizona's reasonably...,"Air pollution control, Carbon monoxide, Environmental protection, Incorporation by reference, Intergovernmental relations, Nitrogen oxides, Ozone, Particulate matter, Reporting and recordkeeping requirements, Sulfur oxides","This rule is effective January 30, 2023.",7,80462,80468,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,40,52
"Television Broadcasting Services Great Falls, Montana",2022-28312,Final rule.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28312.pdf,"On March 10, 2022, the Media Bureau, Video Division (Bureau) issued a Notice of Proposed Rulemaking (NPRM) in response to a petition for rulemaking filed by Scripps Broadcasting Holdings LLC (Petitioner), the licensee of KRTV(TV) (Station), channel 7, Great Falls, Montana, requesting the substitution of channel 22 for channel 7 at Great Falls in the Table of Allotments. For the reasons set forth in the Report and Order referenced below, the Bureau amends FCC regulations to substitute channel 22 for channel 7 at Great Falls.","On March 10, 2022, the Media Bureau, Video Division (Bureau) issued a Notice of Proposed Rulemaking (NPRM) in response to a petition for rulemaking filed by Scripps Broadcasting Holdings LLC (Petitioner), the licensee of KRTV(TV) (Station), channel 7,...",Television,"Effective December 30, 2022.",2,80470,80471,,Federal Communications Commission,161,https://www.federalregister.gov/agencies/federal-communications-commission,None,federal-communications-commission,47,73
Prevailing Rate Systems; Redefinition of Certain Appropriated Fund Federal Wage System Wage Areas,2022-28318,Proposed rule.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28318.pdf,"The Office of Personnel Management (OPM) is proposing a rule to redefine the geographic boundaries of the following appropriated fund Federal Wage System (FWS) wage areas for pay-setting purposes: Hagerstown-Martinsburg-Chambersburg, MD; Richmond, VA; Roanoke, VA; and Washington, DC. The proposed rule would redefine the Shenandoah National Park portions of Albemarle, Augusta, Greene, Page, and Rockingham Counties, VA, to the Washington, DC, wage area. This change is based on a recent consensus recommendation of the Federal Prevailing Rate Advisory Committee (FPRAC).","The Office of Personnel Management (OPM) is proposing a rule to redefine the geographic boundaries of the following appropriated fund Federal Wage System (FWS) wage areas for pay-setting purposes: Hagerstown-Martinsburg-Chambersburg, MD; Richmond, VA;...","Administrative practice and procedure, Freedom of information, Government employees, Reporting and recordkeeping requirements, Wages","Send comments on or before January 30, 2023.",3,80472,80474,,Personnel Management Office,406,https://www.federalregister.gov/agencies/personnel-management-office,None,personnel-management-office,5,532
Reporting Nuclear Medicine Injection Extravasations as Medical Events,2022-28356,Petition for rulemaking; consideration in the rulemaking process.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28356.pdf,"The U.S. Nuclear Regulatory Commission (NRC) will consider in its rulemaking process issues raised in a petition for rulemaking (PRM), PRM-35-22, submitted by Ronald K. Lattanze on behalf of Lucerno Dynamics, LLC. The petitioner requested that the NRC amend its regulations to require reporting of certain nuclear medicine injection extravasations as medical events.","The U.S. Nuclear Regulatory Commission (NRC) will consider in its rulemaking process issues raised in a petition for rulemaking (PRM), PRM-35-22, submitted by Ronald K. Lattanze on behalf of Lucerno Dynamics, LLC. The petitioner requested that the NRC...",,"The docket for the petition for rulemaking, PRM-35-22, is closed on December 30, 2022.",6,80474,80479,,Nuclear Regulatory Commission,383,https://www.federalregister.gov/agencies/nuclear-regulatory-commission,None,nuclear-regulatory-commission,10,35
Air Plan Approval; Illinois; Alton Township 2010 SO2 Attainment Plan,2022-28158,Proposed rule.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28158.pdf,"The Environmental Protection Agency (EPA) is proposing to approve the State Implementation Plan (SIP) revision which Illinois submitted to EPA on December 31, 2018, for attaining the 2010 sulfur dioxide (SO<INF>2</INF>) primary national ambient air quality standard (NAAQS) for the Alton Township nonattainment area in Madison County. This plan (herein called a ""nonattainment plan"") includes Illinois' attainment demonstration and other elements required under the Clean Air Act (CAA), including the requirement for meeting reasonable further progress (RFP) toward attainment of the NAAQS, reasonably available control measures and reasonably available control technology (RACM/ RACT), base-year and projection-year emission inventories, enforceable emission limitations and control measures, nonattainment new source review (NNSR), and contingency measures. EPA is proposing to approve Illinois' submission as a SIP revision for attaining the 2010 primary SO<INF>2</INF> NAAQS in the Alton township nonattainment area, finding that Illinois has adequately demonstrated that the plan provisions provide for attainment of NAAQS in the nonattainment area and that the plan meets the other applicable requirements under the CAA.","The Environmental Protection Agency (EPA) is proposing to approve the State Implementation Plan (SIP) revision which Illinois submitted to EPA on December 31, 2018, for attaining the 2010 sulfur dioxide (SO<INF>2</INF>) primary national ambient air...","Air pollution control, Environmental protection, Incorporation by reference, Intergovernmental relations, Sulfur oxides","Comments must be received on or before January 30, 2023.",11,80509,80519,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,40,52
Tri County Resource Advisory Committee,2022-28411,Notice of meeting.,2022-12-30,https://www.govinfo.gov/content/pkg/FR-2022-12-30/pdf/2022-28411.pdf,"The Tri County Resource Advisory Committee (RAC) will have a hybrid meeting, with the option to attend virtually or in-person. The committee is authorized under the Secure Rural Schools and Community Self-Determination Act (the Act) and operates in compliance with the Federal Advisory Committee Act. The purpose of the committee is to improve collaborative relationships and to provide advice and recommendations to the Forest Service concerning projects and funding consistent with Title II of the Act. RAC information and virtual meeting information can be found at the following website: https:// www.fs.usda.gov/main/bdnf/workingtogether/advisorycommittees.","The Tri County Resource Advisory Committee (RAC) will have a hybrid meeting, with the option to attend virtually or in-person. The committee is authorized under the Secure Rural Schools and Community Self-Determination Act (the Act) and operates in...",,"The meeting will be held on Friday, February 3rd, 2023 beginning at 8:30 a.m. Mountian Standard Time. All RAC meetings are subject to cancellation. For status of the meeting prior to attendance, please contact the person listed under FOR FURTHER INFORMATION CONTACT.",1,80522,80522,,"Agriculture Department, Forest Service","12, 209","https://www.federalregister.gov/agencies/agriculture-department, https://www.federalregister.gov/agencies/forest-service","None, 12","agriculture-department, forest-service",,
