document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
On-Site Civil Inspection Procedures; Rescission,2021-28282,Final rule; rescission of regulations.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28282.pdf,"In accordance with the Presidential directive of January 20, 2021, ""Revocation of Certain Executive Orders Concerning Federal Regulation,"" and in order to ensure appropriate flexibilities to site- specific inspection work, the Environmental Protection Agency (EPA) is rescinding its March 2, 2020 final rule describing certain Agency procedures for conducting on-site civil inspections. This rule applies to on-site civil inspections conducted by federally credentialed EPA civil inspectors, federally credentialed contractors and Senior Environmental Employment employees conducting inspections on behalf of EPA.","In accordance with the Presidential directive of January 20, 2021, ""Revocation of Certain Executive Orders Concerning Federal Regulation,"" and in order to ensure appropriate flexibilities to site- specific inspection work, the Environmental Protection...",Environmental protection,"This rule is effective on December 30, 2021.",3,74371,74373,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,40,31
Advanced Methods To Target and Eliminate Unlawful Robocalls-Petition for Reconsideration and Request for Clarification of USTelecom-The Broadband Association,2021-28212,Final rule.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28212.pdf,"In this document, the Federal Communications Commission (Commission) reconsiders and clarifies certain aspects of the transparency and redress requirements previously adopted to ensure that voice service providers continue to block unwanted and illegal calls, while also protecting the interests of legitimate callers and consumers, also, granting a waiver to allow voice service providers terminating a call on an internet protocol (IP) network to use Session Initiation Protocol (SIP).","In this document, the Federal Communications Commission (Commission) reconsiders and clarifies certain aspects of the transparency and redress requirements previously adopted to ensure that voice service providers continue to block unwanted and illegal...","Communications common carriers, Reporting and recordkeeping requirements, Telecommunications, Telephone","This rule is effective January 31, 2022, except for the addition of Sec. 64.1200(k)(10), which is delayed indefinitely. The Commission will publish a document in the Federal Register announcing the effective date of this amendment. Section 64.1200(k)(9)(i) is waived from January 1, 2022 until January 31, 2022.",3,74373,74375,,Federal Communications Commission,161,https://www.federalregister.gov/agencies/federal-communications-commission,None,federal-communications-commission,47,64
Defense Federal Acquisition Regulation Supplement: Trade Agreements Thresholds (DFARS Case 2022-D003),2021-28161,Final rule.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28161.pdf,"DoD is issuing a final rule amending the Defense Federal Acquisition Regulation Supplement (DFARS) to incorporate revised thresholds for application of the World Trade Organization Government Procurement Agreement and the Free Trade Agreements, as determined by the United States Trade Representative.","DoD is issuing a final rule amending the Defense Federal Acquisition Regulation Supplement (DFARS) to incorporate revised thresholds for application of the World Trade Organization Government Procurement Agreement and the Free Trade Agreements, as...",Government procurement,"Effective January 1, 2022.",3,74375,74377,,"Defense Department, Defense Acquisition Regulations System","103, 97","https://www.federalregister.gov/agencies/defense-department, https://www.federalregister.gov/agencies/defense-acquisition-regulations-system","None, 103","defense-department, defense-acquisition-regulations-system","48, 48","225, 252"
Internal Personnel Rules and Practices of the NTSB; Corrections,2021-27300,Correcting amendments.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-27300.pdf,"This document corrects the wording reflected in various sections in part 801 as a result of the amendatory language in the interim final rule (IFR) published in the Federal Register (FR) on October 4, 2021. The IFR amended part 801, in pertinent part, by revising all references to ""public reading room"" to read ""electronic reading room"". Consequently, that revision resulted in needless repetition of ""electronic reading room"" in several part 801 regulations. This correction amends the affected regulations to reflect the agency's original intent.","This document corrects the wording reflected in various sections in part 801 as a result of the amendatory language in the interim final rule (IFR) published in the Federal Register (FR) on October 4, 2021. The IFR amended part 801, in pertinent part,...","Archives and records, Freedom of information","Effective on December 30, 2021.",2,74377,74378,,National Transportation Safety Board,374,https://www.federalregister.gov/agencies/national-transportation-safety-board,None,national-transportation-safety-board,49,801
Endangered and Threatened Species; Removal of Siderastrea glynni From the Federal List of Threatened and Endangered Species,2021-28335,Final rule.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28335.pdf,"We, NMFS, are issuing a final rule to remove a coral, Siderastrea glynni, from the Federal List of Threatened and Endangered Species. Recently obtained genetic and morphological information demonstrates that S. glynni does not meet the statutory definition of a species, and therefore does not qualify for listing under the Endangered Species Act (ESA). Following public comment and peer review of the proposed rule and supporting scientific information, this final rule implements the changes to the listing for S. glynni.","We, NMFS, are issuing a final rule to remove a coral, Siderastrea glynni, from the Federal List of Threatened and Endangered Species. Recently obtained genetic and morphological information demonstrates that S. glynni does not meet the statutory...",Endangered and threatened species,"This final rule is effective on January 31, 2022.",3,74378,74380,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",50,224
Fisheries of the Northeastern United States; Summer Flounder Fishery; Quota Transfers from NC to CT and ME to RI,2021-28370,Notification of quota transfer.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28370.pdf,"NMFS announces that the states of North Carolina and Maine are transferring a portion of their 2021 commercial summer flounder quota to the states of Connecticut and Rhode Island, respectively. This adjustment to the 2021 fishing year quota is necessary to comply with the Summer Flounder, Scup, and Black Sea Bass Fishery Management Plan quota transfer provisions. This announcement informs the public of the revised 2021 commercial quotas for North Carolina, Maine, Connecticut, and Rhode Island.","NMFS announces that the states of North Carolina and Maine are transferring a portion of their 2021 commercial summer flounder quota to the states of Connecticut and Rhode Island, respectively. This adjustment to the 2021 fishing year quota is...",,"Effective December 27, 2021, through December 31, 2021.",1,74381,74381,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",50,648
Magnuson-Stevens Act Provisions; Fisheries Off West Coast States; Pacific Coast Groundfish Fishery; 2021-2022 Biennial Specifications and Management Measures; Inseason Adjustments; Correction,2021-28351,Final rule; correction.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28351.pdf,"NMFS published a final rule on December 23, 2021, announcing routine inseason adjustments to management measures in the commercial and recreational groundfish fisheries. In implementing these changes, NMFS inadvertently removed the trip limit for California black rockfish between 42[deg] N latitude and 40[deg]10' N latitude in Table 2 (North) and Table 3 (North). This correction is necessary so that the implementing regulations are accurate.","NMFS published a final rule on December 23, 2021, announcing routine inseason adjustments to management measures in the commercial and recreational groundfish fisheries. In implementing these changes, NMFS inadvertently removed the trip limit for...",,"This correction is effective January 1, 2022.",4,74381,74384,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",50,660
Fisheries of the Exclusive Economic Zone off Alaska; Inseason Adjustment to the 2022 Gulf of Alaska Pollock and Pacific Cod Total Allowable Catch Amounts,2021-28361,Temporary rule; inseason adjustment; request for comments.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28361.pdf,"NMFS is adjusting the 2022 total allowable catch (TAC) amounts for the Gulf of Alaska (GOA) pollock and Pacific cod fishery. This action is necessary because NMFS has determined these TACs are incorrectly specified, and will ensure the GOA pollock and Pacific cod TACs are the appropriate amount based on the best available scientific information for pollock and Pacific cod in the GOA. This action is consistent with the goals and objectives of the Fishery Management Plan for Groundfish of the Gulf of Alaska.","NMFS is adjusting the 2022 total allowable catch (TAC) amounts for the Gulf of Alaska (GOA) pollock and Pacific cod fishery. This action is necessary because NMFS has determined these TACs are incorrectly specified, and will ensure the GOA pollock and...",,"Effective 0001 hours, Alaska local time (A.l.t.), January 1, 2022, until the effective date of the final 2022 and 2023 harvest specifications for GOA groundfish, unless otherwise modified or superseded through publication of a notification in the Federal Register.",3,74384,74386,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",50,679
Fisheries of the Exclusive Economic Zone off Alaska; Reclassifying Sculpin Species in the Groundfish Fisheries of the Bering Sea and Aleutian Islands and the Gulf of Alaska; Correcting Amendment,2021-28232,Final rule; correcting amendment.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28232.pdf,"The National Marine Fisheries Service is correcting regulations published in a final rule on July 10, 2020, which reclassified sculpins as Ecosystem Component (EC) category, non-target species in both the Bering Sea/Aleutian Islands (BSAI) (Amendment 121) and Gulf of Alaska (Amendment 110) Groundfish Fishery Management Plans (FMPs). In the implementing regulations, footnotes requiring the full retention of all rockfish species by catcher vessels (CVs) using hook- and-line, pot, or jig gear in the BSAI (Amendment 119) and Gulf of Alaska (Amendment 107) were unintentionally omitted from Tables 10 and 11 to 50 CFR part 679. This correcting amendment is therefore necessary to restore the footnotes as published in the final rule implementing Amendments 119 and 107 and to make other minor corrections.","The National Marine Fisheries Service is correcting regulations published in a final rule on July 10, 2020, which reclassified sculpins as Ecosystem Component (EC) category, non-target species in both the Bering Sea/Aleutian Islands (BSAI) (Amendment...","Alaska, Fisheries, Reporting and recordkeeping requirements","Effective December 30, 2021.",4,74386,74389,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",50,679
"Fisheries of the Exclusive Economic Zone Off Alaska; Inseason Adjustment to the 2022 Bering Sea and Aleutian Islands Pollock, Atka Mackerel, and Pacific Cod Total Allowable Catch Amounts",2021-28371,Temporary rule; inseason adjustment; request for comments.,2021-12-30,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-28371.pdf,"NMFS is adjusting the 2022 total allowable catch (TAC) amounts for the Bering Sea and Aleutian Islands (BSAI) pollock, Atka mackerel, and Pacific cod fisheries. This action is necessary because NMFS has determined these TACs are incorrectly specified, and will ensure the BSAI pollock, Atka mackerel, and Pacific cod TACs are the appropriate amounts based on the best available scientific information. This action is consistent with the goals and objectives of the Fishery Management Plan for Groundfish of the Bering Sea and Aleutian Islands Management Area.","NMFS is adjusting the 2022 total allowable catch (TAC) amounts for the Bering Sea and Aleutian Islands (BSAI) pollock, Atka mackerel, and Pacific cod fisheries. This action is necessary because NMFS has determined these TACs are incorrectly specified,...",,"Effective 0001 hours, Alaska local time (A.l.t.), January 1, 2022, until the effective date of the final 2022 and 2023 harvest specifications for BSAI groundfish, unless otherwise modified or superseded through publication of a notification in the Federal Register.",5,74389,74393,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",50,679
